date,portfolio_value,daily_return
2011-01-03,1.0,0.0
2011-01-04,0.9903508771929824,-0.0096491228070174
2011-01-05,0.9797637341529004,-0.0106902950094716
2011-01-06,0.9689332821103854,-0.011054146693722
2011-01-07,0.944647201946472,-0.0250647599915415
2011-01-10,0.9227718017671916,-0.0231572169315755
2011-01-11,0.9275547445255474,0.0051832346298359
2011-01-12,0.9433410167755156,0.0170192350835776
2011-01-13,0.9310731207580998,-0.0130047308441535
2011-01-14,0.9157478550390576,-0.0164597875047279
2011-01-17,0.91260084517864,-0.0034365462535352
2011-01-18,0.9232680240747856,0.0116887672770644
2011-01-19,0.9274587014982713,0.004538960858831
2011-01-20,0.9308106031502114,0.0036140710594716
2011-01-21,0.9319375080035858,0.0012106704087389
2011-01-24,0.941916378537585,0.0107076605977327
2011-01-25,0.9327282622614932,-0.0097547048606981
2011-01-27,0.918190549366116,-0.0155862253601375
2011-01-28,0.8974772698168781,-0.0225588028144458
2011-01-31,0.9026187732103984,0.0057288396781005
2011-02-01,0.8837783326930467,-0.02087308737258
2011-02-02,0.8839896273530544,0.0002390810593464
2011-02-03,0.8937892175694714,0.01108563937086
2011-02-04,0.8825681905493663,-0.0125544443807669
2011-02-07,0.8770969394288644,-0.0061992389699614
2011-02-08,0.8625080035856066,-0.016633208015476
2011-02-09,0.8460078114995521,-0.0191304799694149
2011-02-10,0.8492604686899734,0.003844712952066
2011-02-11,0.8689140735049304,0.0231420224295542
2011-02-14,0.8970962991420159,0.0324338464485989
2011-02-15,0.9085318222563712,0.0127472637277537
2011-02-16,0.9097323600973238,0.0013214042827593
2011-02-17,0.9239627353054172,0.0156423755296237
2011-02-18,0.908525419387886,-0.0167077256773005
2011-02-21,0.9122262773722628,0.0040734776434439
2011-02-22,0.9014758611858116,-0.0117848131029714
2011-02-23,0.8926334998079143,-0.0098087611200879
2011-02-24,0.8618837239083113,-0.0344483776445989
2011-02-25,0.8744845690869513,0.0146201219829282
2011-02-28,0.8800358560635168,0.0063480673905562
2011-03-01,0.9107792290946346,0.034934227758214
2011-03-03,0.9140991164041492,0.0036451065235807
2011-03-04,0.9152228198232812,0.001229301504581
2011-03-07,0.903633627865284,-0.0126626999534767
2011-03-08,0.9126872839031888,0.0100191667936184
2011-03-09,0.9165097963887824,0.0041881951825233
2011-03-10,0.9112466384940456,-0.0057426095339893
2011-03-11,0.9050934818798826,-0.0067524601509992
2011-03-14,0.9129914201562304,0.0087261022584581
2011-03-15,0.8988891023178387,-0.0154462764129573
2011-03-16,0.9101613522858244,0.0125402009423849
2011-03-17,0.906796644896914,-0.0036968251623297
2011-03-18,0.8973492124471768,-0.0104184686863407
2011-03-21,0.8965296452810864,-0.0009133202043554
2011-03-22,0.9054616468177747,0.0099628624482217
2011-03-23,0.9111922141119224,0.0063288901460238
2011-03-24,0.9143104110641572,0.0034221066685407
2011-03-25,0.9293091304904602,0.0164044062550332
2011-03-28,0.9366532206428484,0.0079027418449146
2011-03-29,0.9414777820463572,0.0051508512405451
2011-03-30,0.9507747470866954,0.0098748639825898
2011-03-31,0.9585222179536436,0.0081485871292728
2011-04-01,0.9562203867332568,-0.0024014375225448
2011-04-04,0.9674542194903322,0.0117481627801865
2011-04-05,0.9721603278268668,0.0048644248396725
2011-04-06,0.9712511205019854,-0.0009352442172927
2011-04-07,0.9709854014598543,-0.0002735842837366
2011-04-08,0.9626648738634912,-0.0085691582837943
2011-04-11,0.9541586630810608,-0.0088361079887462
2011-04-13,0.9696407990779876,0.0162259554893455
2011-04-15,0.9608816749903962,-0.0090333699818738
2011-04-18,0.9496094250224104,-0.011731153024745
2011-04-19,0.951270969394289,0.0017497134380688
2011-04-20,0.9734793187347938,0.0233459761256518
2011-04-21,0.9727205788193116,-0.0007794104105554
2011-04-25,0.976383019592778,0.0037651519390202
2011-04-26,0.9781790242028432,0.0018394467888374
2011-04-27,0.9786976565501349,0.0005302018694524
2011-04-28,0.9706364451274174,-0.0082366718350309
2011-04-29,0.965683826354207,-0.0051024446877845
2011-05-02,0.9540370085798444,-0.0120606946668389
2011-05-03,0.931037904981432,-0.0241071398610082
2011-05-04,0.923469714432066,-0.0081287673776472
2011-05-05,0.9089768216160844,-0.0156939557296631
2011-05-06,0.927650787552824,0.0205439407173648
2011-05-09,0.9276667947240368,1.7255600305077223e-05
2011-05-10,0.9287808938404408,0.0012009690577914
2011-05-11,0.9356223588167504,0.0073660698897675
2011-05-12,0.92753233448585,-0.0086466770002499
2011-05-13,0.936230631322833,0.0093778906821664
2011-05-16,0.9311051351005256,-0.0054746085535201
2011-05-17,0.9269944935331031,-0.0044147985146473
2011-05-18,0.9209918043283396,-0.006475431350067
2011-05-19,0.9200922013061856,-0.0009767763599264
2011-05-20,0.9267639902676404,0.0072512178148922
2011-05-23,0.9141855551286984,-0.0135724254190213
2011-05-24,0.9163913433218088,0.0024128451611773
2011-05-25,0.912520809322577,-0.0042236693170861
2011-05-26,0.9173613778972984,0.0053046117143509
2011-05-27,0.9229286720450768,0.0060688124461258
2011-05-30,0.9262357536176212,0.0035832471920245
2011-05-31,0.9423005506466904,0.0173441771885012
2011-06-01,0.9453707260852868,0.0032581700567717
2011-06-02,0.9429696504033812,-0.0025398244473342
2011-06-03,0.9362498399282884,-0.0071262213711951
2011-06-06,0.9378249455756184,0.0016823561192285
2011-06-07,0.9404469202202592,0.0027958039045672
2011-06-08,0.9362210270201056,-0.0044934946452521
2011-06-09,0.9333845562812146,-0.003029702022309
2011-06-10,0.93184146497631,-0.0016532213807486
2011-06-13,0.9320047381226796,0.0001752155838803
2011-06-14,0.9350364963503658,0.0032529429343812
2011-06-15,0.930183122038674,-0.0051905720585616
2011-06-16,0.9261717249327708,-0.004312481070514
2011-06-17,0.9173485721603286,-0.0095264760680127
2011-06-20,0.9017447816621856,-0.017009663471102
2011-06-21,0.9038097067486242,0.0022899218586354
2011-06-22,0.8989115123575371,-0.0054194974390217
2011-06-23,0.9038065053143818,0.0054454669781753
2011-06-24,0.9221411192214122,0.0202859946229894
2011-06-27,0.9278908951210152,0.0062352451048466
2011-06-28,0.9317454219490344,0.0041540733380256
2011-06-29,0.9394096555256766,0.0082256734469488
2011-06-30,0.9450473812267906,0.0060013495368633
2011-07-01,0.9482264054296334,0.0033638781144667
2011-07-04,0.9553143808426184,0.0074749821059596
2011-07-05,0.9541618645153038,-0.0012064262303871
2011-07-06,0.9537616852349862,-0.0004194039766207
2011-07-07,0.9688052247406848,0.0157728494849236
2011-07-08,0.96094890510949,-0.0081092870172099
2011-07-11,0.95386733256499,-0.0073693538822369
2011-07-12,0.9432545780509676,-0.0111260278570229
2011-07-13,0.9538641311307474,0.0112478150932509
2011-07-14,0.9559418619541564,0.0021782251324891
2011-07-15,0.9551158919195808,-0.0008640379372936
2011-07-18,0.9539953899346916,-0.0011731581417174
2011-07-19,0.961813292354976,0.0081949058693244
2011-07-20,0.9528588807785896,-0.0093099270383981
2011-07-21,0.9503649635036504,-0.0026172997127353
2011-07-22,0.9606607760276612,0.010833535451532
2011-07-25,0.9671372775003212,0.0067417153216562
2011-07-26,0.9548597771801776,-0.012694682136414
2011-07-27,0.9477846075041628,-0.0074096425937101
2011-07-28,0.9428287872967098,-0.0052288464786354
2011-07-29,0.9412120630042268,-0.0017147591527392
2011-08-01,0.9415578179024212,0.0003673506872521
2011-08-02,0.9325361762069416,-0.0095816120093165
2011-08-03,0.9239627353054178,-0.009193681832694
2011-08-04,0.9137309514662578,-0.0110738057371738
2011-08-05,0.8998431297221164,-0.0151990273743662
2011-08-08,0.8836150595466777,-0.0180343324735391
2011-08-09,0.8747887053399931,-0.0099889132844939
2011-08-10,0.8925278524779109,0.0202782077885006
2011-08-11,0.8895024971187099,-0.0033896481222426
2011-08-12,0.8754770137021393,-0.0157677841962244
2011-08-16,0.8704667691125632,-0.0057228739431881
2011-08-17,0.8754610065309266,0.0057374245583838
2011-08-18,0.8557785888077867,-0.0224823465309241
2011-08-19,0.8428383915994373,-0.0151209639708055
2011-08-22,0.8489723396081452,0.0072777273435156
2011-08-23,0.8607888333973629,0.0139185851386769
2011-08-24,0.8528172621334367,-0.009260774483405
2011-08-25,0.8451242156486114,-0.0090207443334109
2011-08-26,0.8321295940581388,-0.015375990120576
2011-08-29,0.8566621846587279,0.0294816946492051
2011-08-30,0.8712895377128962,0.0170748205256607
2011-09-02,0.8798725829171478,0.0098509678272755
2011-09-05,0.8794403892944048,-0.0004912002386868
2011-09-06,0.8798341657062374,0.0004477579340522
2011-09-07,0.8863170700473822,0.0073683252979168
2011-09-08,0.8886509156101944,0.0026331948708686
2011-09-09,0.8783422973492135,-0.0116003011755211
2011-09-12,0.8610609553079791,-0.0196749514322475
2011-09-13,0.8595754898194401,-0.0017251571789219
2011-09-14,0.8711710846459224,0.0134899086395752
2011-09-15,0.8807881931105146,0.011039287958577
2011-09-16,0.8818798821872209,0.0012394456297728
2011-09-19,0.8745485977718028,-0.0083132460139981
2011-09-20,0.8908855167114879,0.0186804015023391
2011-09-21,0.8927519528748891,0.0020950348034511
2011-09-22,0.8606511717249339,-0.0359571110951731
2011-09-23,0.8555929056217197,-0.0058772546525165
2011-09-26,0.845463567678321,-0.0118389690667646
2011-09-27,0.8648194391087217,0.0228937971668641
2011-09-28,0.8630874631835073,-0.0020027023525274
2011-09-29,0.8711998975541053,0.0093993189759415
2011-09-30,0.8624567806377267,-0.0100357184854187
2011-10-03,0.8491900371366382,-0.0153825024035159
2011-10-04,0.836582789089513,-0.0148462034359649
2011-10-05,0.8331028300678713,-0.0041597305933451
2011-10-07,0.8485593545908575,0.0185529612493657
2011-10-10,0.856822256370855,0.0097375648919473
2011-10-11,0.8627000896401597,0.0068600380365944
