date,volatility_state,trend_state,participation_state,volume_state,raw_regime,is_canonical,distance,confirmed_regime,days_in_regime,provisional_regime,provisional_days,regime_confirmed
2018-03-21,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,55,,0,False
2018-03-22,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,56,,0,False
2018-03-23,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,57,,0,False
2018-03-26,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,58,,0,False
2018-03-27,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,59,,0,False
2018-03-28,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,60,,0,False
2018-04-02,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,61,,0,False
2018-04-03,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,62,,0,False
2018-04-04,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,63,,0,False
2018-04-05,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,64,,0,False
2018-04-06,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,65,,0,False
2018-04-09,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,66,,0,False
2018-04-10,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,67,,0,False
2018-04-11,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,68,,0,False
2018-04-12,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,69,,0,False
2018-04-13,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,70,,0,False
2018-04-16,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,71,,0,False
2018-04-17,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,72,,0,False
2018-04-18,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,73,,0,False
2018-04-19,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,74,,0,False
2018-04-20,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,75,,0,False
2018-04-23,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,76,,0,False
2018-04-24,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,77,,0,False
2018-04-25,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,78,,0,False
2018-04-26,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,79,,0,False
2018-04-27,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,80,,0,False
2018-04-30,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,81,,0,False
2018-05-02,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,82,,0,False
2018-05-03,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,83,,0,False
2018-05-04,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,84,,0,False
2018-05-07,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,85,,0,False
2018-05-08,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,86,,0,False
2018-05-09,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,87,,0,False
2018-05-10,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,88,,0,False
2018-05-11,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,89,,0,False
2018-05-14,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,90,,0,False
2018-05-15,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,91,,0,False
2018-05-16,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,92,,0,False
2018-05-17,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,93,,0,False
2018-05-18,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,94,,0,False
2018-05-21,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,95,,0,False
2018-05-22,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,96,,0,False
2018-05-23,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,97,,0,False
2018-05-24,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,98,,0,False
2018-05-25,Moderate,Mild Down,Unclassified,Normal,Volatile Chop,False,0.175,Volatile Chop,99,,0,False
2018-05-28,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Volatile Chop,100,Slow Bleed,1,False
2018-05-29,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Volatile Chop,101,Slow Bleed,2,False
2018-05-30,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Volatile Chop,102,Slow Bleed,3,False
2018-05-31,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Volatile Chop,103,Slow Bleed,4,False
2018-06-01,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,5,,0,True
2018-06-04,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,6,,0,False
2018-06-05,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,7,,0,False
2018-06-06,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,8,,0,False
2018-06-07,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,9,,0,False
2018-06-08,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,10,,0,False
2018-06-11,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,11,,0,False
2018-06-12,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,12,,0,False
2018-06-13,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,13,,0,False
2018-06-14,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,14,,0,False
2018-06-15,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,15,,0,False
2018-06-18,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,16,,0,False
2018-06-19,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,17,,0,False
2018-06-20,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,18,,0,False
2018-06-21,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,19,,0,False
2018-06-22,Moderate,Mild Down,Healing,Normal,Slow Bleed,False,0.1125,Slow Bleed,20,,0,False
